"","word","sentiment","lexicon","score"
"1","abandon",NA,"AFINN",-2
"2","abandoned",NA,"AFINN",-2
"3","abandons",NA,"AFINN",-2
"4","abducted",NA,"AFINN",-2
"5","abduction",NA,"AFINN",-2
"6","abductions",NA,"AFINN",-2
"7","abhor",NA,"AFINN",-3
"8","abhorred",NA,"AFINN",-3
"9","abhorrent",NA,"AFINN",-3
"10","abhors",NA,"AFINN",-3
"11","abilities",NA,"AFINN",2
"12","ability",NA,"AFINN",2
"13","aboard",NA,"AFINN",1
"14","absentee",NA,"AFINN",-1
"15","absentees",NA,"AFINN",-1
"16","absolve",NA,"AFINN",2
"17","absolved",NA,"AFINN",2
"18","absolves",NA,"AFINN",2
"19","absolving",NA,"AFINN",2
"20","absorbed",NA,"AFINN",1
"21","abuse",NA,"AFINN",-3
"22","abused",NA,"AFINN",-3
"23","abuses",NA,"AFINN",-3
"24","abusive",NA,"AFINN",-3
"25","accept",NA,"AFINN",1
"26","accepted",NA,"AFINN",1
"27","accepting",NA,"AFINN",1
"28","accepts",NA,"AFINN",1
"29","accident",NA,"AFINN",-2
"30","accidental",NA,"AFINN",-2
"31","accidentally",NA,"AFINN",-2
"32","accidents",NA,"AFINN",-2
"33","accomplish",NA,"AFINN",2
"34","accomplished",NA,"AFINN",2
"35","accomplishes",NA,"AFINN",2
"36","accusation",NA,"AFINN",-2
"37","accusations",NA,"AFINN",-2
"38","accuse",NA,"AFINN",-2
"39","accused",NA,"AFINN",-2
"40","accuses",NA,"AFINN",-2
"41","accusing",NA,"AFINN",-2
"42","ache",NA,"AFINN",-2
"43","achievable",NA,"AFINN",1
"44","aching",NA,"AFINN",-2
"45","acquit",NA,"AFINN",2
"46","acquits",NA,"AFINN",2
"47","acquitted",NA,"AFINN",2
"48","acquitting",NA,"AFINN",2
"49","acrimonious",NA,"AFINN",-3
"50","active",NA,"AFINN",1
"51","adequate",NA,"AFINN",1
"52","admire",NA,"AFINN",3
"53","admired",NA,"AFINN",3
"54","admires",NA,"AFINN",3
"55","admiring",NA,"AFINN",3
"56","admit",NA,"AFINN",-1
"57","admits",NA,"AFINN",-1
"58","admitted",NA,"AFINN",-1
"59","admonish",NA,"AFINN",-2
"60","admonished",NA,"AFINN",-2
"61","adopt",NA,"AFINN",1
"62","adopts",NA,"AFINN",1
"63","adorable",NA,"AFINN",3
"64","adore",NA,"AFINN",3
"65","adored",NA,"AFINN",3
"66","adores",NA,"AFINN",3
"67","advanced",NA,"AFINN",1
"68","advantage",NA,"AFINN",2
"69","advantages",NA,"AFINN",2
"70","adventure",NA,"AFINN",2
"71","adventures",NA,"AFINN",2
"72","adventurous",NA,"AFINN",2
"73","affected",NA,"AFINN",-1
"74","affection",NA,"AFINN",3
"75","affectionate",NA,"AFINN",3
"76","afflicted",NA,"AFINN",-1
"77","affronted",NA,"AFINN",-1
"78","afraid",NA,"AFINN",-2
"79","aggravate",NA,"AFINN",-2
"80","aggravated",NA,"AFINN",-2
"81","aggravates",NA,"AFINN",-2
"82","aggravating",NA,"AFINN",-2
"83","aggression",NA,"AFINN",-2
"84","aggressions",NA,"AFINN",-2
"85","aggressive",NA,"AFINN",-2
"86","aghast",NA,"AFINN",-2
"87","agog",NA,"AFINN",2
"88","agonise",NA,"AFINN",-3
"89","agonised",NA,"AFINN",-3
"90","agonises",NA,"AFINN",-3
"91","agonising",NA,"AFINN",-3
"92","agonize",NA,"AFINN",-3
"93","agonized",NA,"AFINN",-3
"94","agonizes",NA,"AFINN",-3
"95","agonizing",NA,"AFINN",-3
"96","agree",NA,"AFINN",1
"97","agreeable",NA,"AFINN",2
"98","agreed",NA,"AFINN",1
"99","agreement",NA,"AFINN",1
"100","agrees",NA,"AFINN",1
"101","alarm",NA,"AFINN",-2
"102","alarmed",NA,"AFINN",-2
"103","alarmist",NA,"AFINN",-2
"104","alarmists",NA,"AFINN",-2
"105","alas",NA,"AFINN",-1
"106","alert",NA,"AFINN",-1
"107","alienation",NA,"AFINN",-2
"108","alive",NA,"AFINN",1
"109","allergic",NA,"AFINN",-2
"110","allow",NA,"AFINN",1
"111","alone",NA,"AFINN",-2
"112","amaze",NA,"AFINN",2
"113","amazed",NA,"AFINN",2
"114","amazes",NA,"AFINN",2
"115","amazing",NA,"AFINN",4
"116","ambitious",NA,"AFINN",2
"117","ambivalent",NA,"AFINN",-1
"118","amuse",NA,"AFINN",3
"119","amused",NA,"AFINN",3
"120","amusement",NA,"AFINN",3
"121","amusements",NA,"AFINN",3
"122","anger",NA,"AFINN",-3
"123","angers",NA,"AFINN",-3
"124","angry",NA,"AFINN",-3
"125","anguish",NA,"AFINN",-3
"126","anguished",NA,"AFINN",-3
"127","animosity",NA,"AFINN",-2
"128","annoy",NA,"AFINN",-2
"129","annoyance",NA,"AFINN",-2
"130","annoyed",NA,"AFINN",-2
"131","annoying",NA,"AFINN",-2
"132","annoys",NA,"AFINN",-2
"133","antagonistic",NA,"AFINN",-2
"134","anti",NA,"AFINN",-1
"135","anticipation",NA,"AFINN",1
"136","anxiety",NA,"AFINN",-2
"137","anxious",NA,"AFINN",-2
"138","apathetic",NA,"AFINN",-3
"139","apathy",NA,"AFINN",-3
"140","apeshit",NA,"AFINN",-3
"141","apocalyptic",NA,"AFINN",-2
"142","apologise",NA,"AFINN",-1
"143","apologised",NA,"AFINN",-1
"144","apologises",NA,"AFINN",-1
"145","apologising",NA,"AFINN",-1
"146","apologize",NA,"AFINN",-1
"147","apologized",NA,"AFINN",-1
